Industry Rankings - 2026-03-22 21:22 UTC
Tickers: 520 | Industries: 180

========================================================================================================================
Period: 5-Day Performance
========================================================================================================================

Rank  Industry                                       Avg      Std  Count  Top 5 Stocks
  49  INVESTMENT ADVICE                           -0.37%   2.34%      5  BX +3.42%, IVZ +0.91%, AMP -0.71%, TROW -2.71%, BEN -2.78%
  50  ENGINES & TURBINES                          -0.41%   0.00%      1  CMI -0.41%
  51  SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES    -0.58%   2.01%      3  MCO +1.19%, SPGI +0.46%, EFX -3.40%
  52  X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS    -0.60%   0.98%      2  HOLX +0.39%, GEHC -1.58%
  53  MOTORS & GENERATORS                         -0.61%   0.00%      1  GNRC -0.61%
  54  PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)    -0.62%   0.74%      2  SEE +0.12%, CE -1.37%
  55  COGENERATION SERVICES & SMALL POWER PRODUCERS    -0.63%   0.00%      1  AES -0.63%
  56  ELECTRICAL WORK                             -0.65%   0.00%      1  PWR -0.65%
  57  SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN    -0.70%   3.84%      3  GDDY +4.52%, JKHY -2.01%, LDOS -4.60%
  58  SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES    -0.72%   1.11%      4  NDAQ +0.95%, ICE -0.48%, CME -1.31%, CBOE -2.05%
  59  SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH    -0.76%   1.15%      3  IQV +0.82%, CRL -1.20%, INCY -1.90%
  60  WATER TRANSPORTATION                        -0.77%   1.77%      3  CCL +0.54%, NCLH +0.42%, RCL -3.26%
  61  RETAIL-RETAIL STORES, NEC                   -0.77%   0.31%      2  BBWI -0.46%, ULTA -1.07%
  62  SERVICES-TO DWELLINGS & OTHER BUILDINGS     -0.82%   2.57%      2  ABNB +1.76%, ROL -3.39%
  63  PUMPS & PUMPING EQUIPMENT                   -0.85%   1.31%      2  XYL +0.47%, IEX -2.16%
  64  LEATHER & LEATHER PRODUCTS                  -0.86%   0.00%      1  TPR -0.86%
  65  SERVICES-MISC HEALTH & ALLIED SERVICES, NEC    -0.94%   0.00%      1  DVA -0.94%
  66  SERVICES-PREPACKAGED SOFTWARE               -1.10%   2.54%     19  INTU +3.55%, SNPS +1.86%, GEN +1.40%, CRM +1.32%, EA +0.64%
  67  SERVICES-BUSINESS SERVICES, NEC             -1.11%   2.60%     17  AKAM +2.61%, ACN +1.70%, MSCI +0.86%, UBER +0.76%, FISV +0.58%
  68  ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS    -1.12%   0.00%      1  MDT -1.12%
  69  RETAIL-EATING PLACES                        -1.23%   3.01%      4  CMG +2.61%, DRI +0.34%, YUM -2.49%, MCD -5.39%
  70  SERVICES-MEDICAL LABORATORIES               -1.26%   0.96%      2  LH -0.30%, DGX -2.22%
  71  GENERAL INDUSTRIAL MACHINERY & EQUIPMENT    -1.31%   1.63%      3  ZBRA +0.44%, IR -0.90%, ITW -3.49%
  72  MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS    -1.34%   4.81%      3  PVH +3.94%, RL -0.26%, CTAS -7.69%
  73  NATURAL GAS TRANSMISSION                    -1.34%   0.23%      3  TRGP -1.10%, WMB -1.27%, KMI -1.65%
  74  REAL ESTATE                                 -1.35%   0.00%      1  CBRE -1.35%
  75  TRUCKING & COURIER SERVICES (NO AIR)        -1.39%   0.00%      1  UPS -1.39%
  76  INDUSTRIAL ORGANIC CHEMICALS                -1.44%   2.85%      2  LYB +1.41%, IFF -4.30%
  77  COMPUTER COMMUNICATIONS EQUIPMENT           -1.46%   0.42%      3  CSCO -0.87%, FFIV -1.74%, ANET -1.76%
  78  ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)    -1.52%   4.21%      4  GEV +5.72%, EMR -3.09%, GE -4.30%, OTIS -4.39%
  79  HOSPITAL & MEDICAL SERVICE PLANS            -1.59%   3.02%      5  HUM +2.70%, CNC -0.15%, CI -1.63%, UNH -2.30%, MOH -6.56%
  80  ACCIDENT & HEALTH INSURANCE                 -1.59%   0.70%      2  PFG -0.89%, AFL -2.29%
  81  COMPUTER & OFFICE EQUIPMENT                 -1.60%   1.64%      3  HPE +0.51%, IBM -1.83%, HPQ -3.49%
  82  HOTELS & MOTELS                             -1.63%   2.31%      5  MAR +1.90%, WYNN -0.45%, LVS -1.40%, MGM -3.57%, CZR -4.63%
  83  RUBBER & PLASTICS FOOTWEAR                  -1.66%   1.32%      2  DECK -0.35%, NKE -2.98%
  84  CABLE & OTHER PAY TELEVISION SERVICES       -1.71%   2.02%      3  WBD +1.03%, CHTR -2.37%, CMCSA -3.78%
  85  SURGICAL & MEDICAL INSTRUMENTS & APPARATUS    -1.72%   3.21%     10  DXCM +4.22%, WST +0.67%, BSX +0.51%, SYK -0.33%, SOLV -1.47%
  86  SHIP & BOAT BUILDING & REPAIRING            -1.75%   0.11%      2  GD -1.63%, HII -1.86%
  87  RETAIL-AUTO DEALERS & GASOLINE STATIONS     -1.78%   1.83%      2  KMX +0.05%, CPRT -3.61%
  88  WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC    -1.79%   0.00%      1  TEL -1.79%
  89  INDUSTRIAL INORGANIC CHEMICALS              -1.79%   0.63%      2  LIN -1.17%, APD -2.42%
  90  GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC    -1.81%   0.00%      1  NDSN -1.81%
  91  CONSTRUCTION MACHINERY & EQUIP              -1.89%   0.00%      1  CAT -1.89%
  92  SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES    -1.97%   0.00%      1  ALLE -1.97%
  93  FIRE, MARINE & CASUALTY INSURANCE           -1.98%   1.34%     10  PGR +0.40%, ALL -0.27%, ACGL -1.25%, BRK.B -1.85%, CB -1.94%
  94  SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY)    -2.04%   0.00%      1  PNR -2.04%
